# 2nd Order Delta Sigma 10/11/2020
# HW Verification data for Out = ds_list(In, 24)
# In is 500 samples of int = 28 followed by 1000 samples of int = -1048576
#
# In, Out
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
-1048576,-2097128
